264,389,356
215,192,58
192,207,214
426,423,425
423,426,391
34,139,143
162,34,127
139,34,162
299,338,297
298,284,251
207,212,214
216,205,206
205,216,207
212,216,57
216,212,207
213,192,215
192,213,207
423,266,425
327,423,391
426,322,391
365,379,394
365,364,397
364,365,394
427,434,432
434,427,416
434,422,432
422,273,432
201,199,208
200,199,201
199,171,208
199,200,421
379,395,394
377,396,400
116,34,143
34,116,127
205,187,50
187,205,207
213,187,207
366,323,352
323,376,352
376,323,401
323,366,356
333,297,332
333,299,297
284,333,332
298,333,284
338,337,10
299,337,338
108,109,10
18,201,83
18,200,201
406,424,418
172,135,136
32,201,208
138,172,58
138,192,214
192,138,58
135,138,214
138,135,172
393,327,391
280,330,347
266,330,425
330,280,425
330,371,329
371,330,266
435,288,416
436,426,425
427,436,425
436,427,432
376,411,352
411,280,352
411,427,425
280,411,425
364,367,397
434,367,364
367,288,397
288,367,416
367,434,416
199,175,171
148,175,152
171,175,148
175,199,396
175,377,152
377,175,396
428,199,421
199,428,396
430,424,422
430,364,394
430,434,364
434,430,422
424,431,418
395,431,394
431,430,394
430,431,424
116,227,127
123,116,50
187,123,50
177,187,213
454,366,352
366,454,356
454,447,356
334,333,298
333,334,299
66,108,107
264,368,389
301,298,251
301,368,300
389,301,251
368,301,389
17,18,83
406,335,424
335,273,422
424,335,422
270,322,409
322,270,391
269,393,391
270,269,391
271,268,311
167,39,165
92,216,206
165,92,206
268,302,311
135,169,136
169,150,136
150,169,170
171,140,208
140,32,208
32,140,170
201,194,83
32,194,201
457,440,309
393,326,328
326,393,164
348,330,329
330,348,347
305,290,309
290,305,328
393,460,327
460,393,328
305,460,328
435,361,288
410,322,426
436,410,426
322,410,409
410,291,409
433,376,401
433,411,376
361,433,401
427,433,416
411,433,427
433,435,416
433,361,435
378,395,379
431,262,418
262,431,395
418,262,421
262,428,421
147,123,187
177,147,187
234,227,116
123,234,116
227,234,137
234,123,137
132,213,215
177,132,215
132,177,213
345,264,356
447,345,356
345,454,352
454,345,447
280,345,352
457,275,440
275,457,274
293,334,298
301,293,298
293,301,300
334,296,299
336,296,295
296,337,299
296,336,337
67,69,103
66,69,108
109,69,67
108,69,109
139,156,143
105,69,66
84,85,16
17,84,16
84,17,83
314,17,16
85,86,16
335,321,273
324,318,272
325,324,272
324,319,318
319,324,320
307,324,325
324,321,320
324,307,321
318,310,272
271,310,318
61,186,185
92,186,216
186,92,185
216,186,57
186,61,57
42,88,95
96,42,95
39,40,165
40,92,165
184,40,183
92,40,185
40,184,185
37,39,167
164,37,167
267,269,311
302,267,311
269,267,393
393,267,164
43,212,57
61,43,57
43,61,146
176,171,148
176,140,171
149,150,170
140,149,170
176,149,140
458,290,328
349,348,329
410,287,291
273,287,432
291,287,273
287,436,432
287,410,436
262,369,428
396,369,400
428,369,396
369,378,400
378,369,395
369,262,395
123,93,137
147,93,123
93,177,137
93,147,177
346,345,280
345,346,340
346,280,347
293,283,334
285,9,336
285,336,295
108,151,107
151,9,107
337,151,10
151,108,10
336,151,337
9,151,336
65,66,107
156,35,143
70,156,139
29,27,160
104,54,103
69,104,103
105,104,69
101,205,50
101,36,205
205,203,206
36,203,205
203,165,206
372,368,264
265,372,340
345,372,264
372,345,340
257,443,259
194,182,83
182,84,83
315,314,16
17,313,18
314,313,17
200,313,421
18,313,200
313,314,406
313,418,421
313,406,418
86,15,16
15,86,14
15,315,16
86,87,14
14,87,12
87,38,12
375,291,273
321,375,273
307,375,321
408,270,409
310,304,272
304,269,270
304,310,269
310,303,269
303,310,271
269,303,311
303,271,311
42,80,88
184,62,185
40,191,183
191,96,183
191,42,96
0,37,164
267,0,164
0,267,302
0,302,268
458,459,290
459,457,309
290,459,309
457,459,274
459,458,274
326,250,328
250,458,328
462,326,164
370,462,164
462,250,326
462,370,354
370,2,94
2,370,164
348,449,347
437,456,399
283,282,334
282,296,334
296,282,295
282,443,295
285,8,9
168,8,417
8,285,417
27,222,28
124,35,156
70,124,156
104,68,54
68,104,105
54,68,21
71,139,162
71,70,139
71,162,21
68,71,21
52,105,66
65,52,66
4,275,274
456,248,399
368,383,300
372,383,368
383,372,265
353,383,265
443,442,295
84,181,85
182,181,84
106,181,182
268,317,12
317,14,12
317,15,14
314,405,406
315,405,314
405,335,406
405,321,335
87,178,38
408,308,407
308,307,325
407,308,325
308,375,307
415,304,270
408,415,270
415,408,407
415,407,325
415,325,272
304,415,272
178,81,38
37,81,39
74,80,42
191,74,42
74,191,40
74,40,39
80,74,39
76,61,185
62,76,185
61,76,146
77,96,95
78,184,183
78,62,184
96,78,183
77,78,96
78,77,146
11,268,12
11,0,268
0,82,37
11,82,0
38,82,12
82,11,12
461,462,354
462,461,250
274,461,354
458,461,274
250,461,458
450,449,348
449,450,254
349,450,348
451,450,349
460,455,327
438,305,309
440,438,309
275,363,440
331,279,371
279,429,371
256,381,252
414,441,286
441,285,295
442,441,295
441,442,286
382,256,341
256,382,381
260,387,259
387,257,259
444,282,283
444,260,259
443,444,259
282,444,443
465,351,417
27,159,160
159,27,28
56,157,28
222,56,28
226,124,113
124,226,35
226,31,35
124,46,113
46,124,70
31,111,35
111,116,143
35,111,143
118,101,50
120,47,100
47,120,121
29,223,27
223,52,65
223,222,27
222,223,65
203,98,165
98,167,165
98,240,167
281,248,456
248,281,5
363,281,456
281,363,275
4,281,275
281,4,5
248,419,399
351,419,197
261,265,340
346,261,340
339,449,254
444,445,260
445,444,283
210,169,135
210,135,214
88,89,95
204,182,194
204,106,182
271,402,268
402,317,268
402,271,318
179,86,85
178,179,88
375,306,291
291,306,409
292,408,409
292,308,408
306,292,409
81,72,38
72,81,37
72,82,38
82,72,37
73,80,39
81,73,39
41,178,88
41,81,178
41,73,81
80,41,88
73,41,80
253,451,252
253,450,451
450,253,254
253,373,254
327,294,423
455,294,327
294,455,439
455,392,439
438,392,305
437,420,456
420,363,456
392,344,439
344,392,438
344,438,440
442,258,286
258,384,286
384,258,385
257,258,443
258,442,443
253,374,373
453,357,465
453,463,341
256,453,341
451,452,252
452,256,252
452,453,256
453,452,357
362,382,341
463,362,341
362,463,414
463,413,414
413,441,414
285,413,417
441,413,285
419,195,197
195,419,248
195,248,5
3,195,5
6,168,417
351,6,417
6,351,197
114,47,121
114,217,47
55,65,107
9,55,107
8,55,9
221,222,65
221,56,222
55,221,65
130,226,113
52,53,105
117,31,228
117,111,31
118,117,228
117,118,50
116,117,50
111,117,116
159,144,160
118,119,101
101,119,100
119,120,100
120,119,230
161,246,30
161,29,160
161,30,29
246,161,7
99,75,60
240,99,167
75,99,240
1,274,354
1,4,274
129,203,36
142,101,100
101,142,36
142,129,36
129,142,49
357,412,465
412,351,465
412,419,351
419,412,399
342,446,359
261,446,265
446,353,265
446,342,353
373,390,254
390,339,254
387,390,373
339,448,449
449,448,347
448,346,347
448,261,346
467,342,359
467,445,342
445,467,260
445,276,342
342,276,353
276,445,283
383,276,300
276,383,353
276,293,300
276,283,293
106,202,43
43,202,212
204,202,106
202,204,210
212,202,214
202,210,214
91,181,106
91,43,146
91,106,43
77,91,146
210,211,169
204,211,210
169,211,170
211,204,194
211,32,170
211,194,32
319,403,318
403,402,318
402,316,317
15,316,315
317,316,15
181,180,85
180,179,85
91,180,181
179,180,88
294,358,423
358,266,423
358,371,266
358,331,371
278,294,439
278,279,331
358,278,331
278,358,294
344,278,439
278,344,279
